Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
33,Cap Elect 100uF 50V,99,0,200.0,99,101,200,88800,2024,49.5,0,2
35,Cap Elect 10uF 50V,99,0,100.0,99,1,100,33300,2024,49.5,0,2
36,Cap Elect 1uF 50V,288,0,50.0,288,-238,50,11100,2024,244.0,1,2
37,Cap Elect 220uF 250V,60,0,0.0,0,0,60,840000,2024,0.0,0,0
38,Cap Elect 470uF 50V,147,0,0.0,0,0,147,84700,2024,66.66666666666667,0,0
39,Cap Elect 47uF 250V,66,0,0.0,0,0,66,72600,2024,0.0,0,0
40,Cap FL 4.5uF 250VAC 50-60,1,0,0.0,0,0,1,880,2024,0.0,0,0
41,Cap Keramik 10kP,205,0,0.0,99,-99,106,29051,2024,49.5,0,1
42,Cap Keramik 220kP 50V,184,0,0.0,150,-150,34,76500,2024,75.0,1,1
44,Cap Milar 100N,169,0,50.0,69,-19,150,172740,2024,34.5,0,2
51,Cap Poly 220kP 250V,132,0,0.0,100,-100,32,72000,2024,50.0,1,1
53,Cap Elect 0.1uF 100V,40,0,0.0,0,0,40,880000,2024,0.0,0,0
54,Cap Elect 0.1uF 400V,39,0,0.0,0,0,39,78000,2024,0.0,0,0
55,Cap Elect 100uF 10V,38,0,0.0,0,0,38,33440,2024,0.0,0,0
56,Cap Elect 10uF 10V,25,0,0.0,0,0,25,22000,2024,0.0,0,0
57,Cap Elect 10uF 400V AC,0,0,10.0,0,10,10,14800,2024,0.0,0,1
58,Cap Elect 22uF 250V,20,0,0.0,0,0,20,40000,2024,0.0,0,0
60,Cap Elect 33uF 250V,20,0,0.0,0,0,20,44000,2024,0.0,0,0
61,Cap Elect 470uF 250V,19,0,0.0,0,0,19,418000,2024,0.0,0,0
